address,street,huisnr1,huisnr2,busnr,postcode,district,source_row_count,aard_summary,oldest_opnamedatum,search_query,status,confidence,best_score,organization_name_candidate,kbo_numbers,generic_emails,social_links,source_urls,source_titles,notes
"Olmenlaan 4, 2610 Wilrijk",OLMENLAAN,4,,,2610,Wilrijk,1,woning:1,2025/10/30 00:00:00+00,"""Olmenlaan 4"" ""2610"" ""Wilrijk""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Van Schoonhovenstraat 92, 2060 Antwerpen",VAN SCHOONHOVENSTRAAT,92,,,2060,Antwerpen,6,woning:4; gebouw:1; onbekend:1,2020/07/08 00:00:00+00,"""Van Schoonhovenstraat 92"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Jules Moretuslei 288, 2610 Wilrijk",JULES MORETUSLEI,288,,,2610,Wilrijk,1,gebouw:1,2017/10/20 00:00:00+00,"""Jules Moretuslei 288"" ""2610"" ""Wilrijk""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Anselmostraat 52, 2018 Antwerpen",ANSELMOSTRAAT,52,,,2018,Antwerpen,1,woning:1,2025/07/14 00:00:00+00,"""Anselmostraat 52"" ""2018"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Bredabaan 471-473, 2170 Merksem",BREDABAAN,471,473,,2170,Merksem,1,gebouw:1,2021/10/04 00:00:00+00,"""Bredabaan 471"" ""2170"" ""Merksem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Turnhoutsebaan 28, 2140 Borgerhout",TURNHOUTSEBAAN,28,,,2140,Borgerhout,1,gebouw:1,2020/07/31 00:00:00+00,"""Turnhoutsebaan 28"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Reyndersstraat 27, 2000 Antwerpen",REYNDERSSTRAAT,27,,,2000,Antwerpen,1,gebouw:1,2022/05/10 00:00:00+00,"""Reyndersstraat 27"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Bredastraat 16, 2060 Antwerpen",BREDASTRAAT,16,,,2060,Antwerpen,3,woning:2; gebouw:1,2022/08/10 00:00:00+00,"""Bredastraat 16"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Muizenstraat 23, 2060 Antwerpen",MUIZENSTRAAT,23,,,2060,Antwerpen,1,gebouw:1,2013/03/29 00:00:00+00,"""Muizenstraat 23"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Carnotstraat 42, 2060 Antwerpen",CARNOTSTRAAT,42,,,2060,Antwerpen,4,woning:3; gebouw:1,2024/01/22 00:00:00+00,"""Carnotstraat 42"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Appelmansstraat 25, 2018 Antwerpen",APPELMANSSTRAAT,25,,,2018,Antwerpen,1,gebouw:1,2019/07/05 00:00:00+00,"""Appelmansstraat 25"" ""2018"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Appelmansstraat 33, 2018 Antwerpen",APPELMANSSTRAAT,33,,,2018,Antwerpen,1,gebouw:1,2022/09/06 00:00:00+00,"""Appelmansstraat 33"" ""2018"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Solftplaats 8, 2040 Bezali",SOLFTPLAATS,8,,,2040,Bezali,1,woning:1,2010/01/01 00:00:00+00,"""Solftplaats 8"" ""2040"" ""Bezali""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Oosterveldlaan 161, 2610 Wilrijk",OOSTERVELDLAAN,161,,,2610,Wilrijk,1,woning:1,2021/06/24 00:00:00+00,"""Oosterveldlaan 161"" ""2610"" ""Wilrijk""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Statiestraat 112, 2600 Berchem",STATIESTRAAT,112,,,2600,Berchem,1,gebouw:1,2026/02/02 00:00:00+00,"""Statiestraat 112"" ""2600"" ""Berchem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Overwinningstraat 61, 2610 Wilrijk",OVERWINNINGSTRAAT,61,,,2610,Wilrijk,1,woning:1,2023/06/21 00:00:00+00,"""Overwinningstraat 61"" ""2610"" ""Wilrijk""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Statiestraat 118, 2600 Berchem",STATIESTRAAT,118,,,2600,Berchem,1,gebouw:1,2026/02/02 00:00:00+00,"""Statiestraat 118"" ""2600"" ""Berchem""",geen_betrouwbare_digitale_match,geen,5,,,,,,,
"Dokter Van De Perrelei 48-101, 2140 Borgerhout",DOKTER VAN DE PERRELEI,48,101,,2140,Borgerhout,1,woning:1,2024/05/06 00:00:00+00,"""Dokter Van De Perrelei 48"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Statiestraat 163, 2600 Berchem",STATIESTRAAT,163,,,2600,Berchem,1,gebouw:1,2026/02/02 00:00:00+00,"""Statiestraat 163"" ""2600"" ""Berchem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Frankrijklei 140, 2000 Antwerpen",FRANKRIJKLEI,140,,,2000,Antwerpen,1,woning:1,2022/08/03 00:00:00+00,"""Frankrijklei 140"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Stan Ockersstraat 2-1, 2140 Borgerhout",STAN OCKERSSTRAAT,2,1,,2140,Borgerhout,1,woning:1,2025/01/06 00:00:00+00,"""Stan Ockersstraat 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Stan Ockersstraat 2-2, 2140 Borgerhout",STAN OCKERSSTRAAT,2,2,,2140,Borgerhout,1,woning:1,2025/01/06 00:00:00+00,"""Stan Ockersstraat 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Stan Ockersstraat 2-3, 2140 Borgerhout",STAN OCKERSSTRAAT,2,3,,2140,Borgerhout,1,woning:1,2025/01/06 00:00:00+00,"""Stan Ockersstraat 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Stan Ockersstraat 2-4, 2140 Borgerhout",STAN OCKERSSTRAAT,2,4,,2140,Borgerhout,1,woning:1,2025/01/06 00:00:00+00,"""Stan Ockersstraat 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Stan Ockersstraat 2-5, 2140 Borgerhout",STAN OCKERSSTRAAT,2,5,,2140,Borgerhout,1,woning:1,2025/01/06 00:00:00+00,"""Stan Ockersstraat 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Stan Ockersstraat 2-6, 2140 Borgerhout",STAN OCKERSSTRAAT,2,6,,2140,Borgerhout,1,woning:1,2025/01/06 00:00:00+00,"""Stan Ockersstraat 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Stan Ockersstraat 2-7, 2140 Borgerhout",STAN OCKERSSTRAAT,2,7,,2140,Borgerhout,1,woning:1,2025/01/06 00:00:00+00,"""Stan Ockersstraat 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Stan Ockersstraat 2-8, 2140 Borgerhout",STAN OCKERSSTRAAT,2,8,,2140,Borgerhout,1,woning:1,2025/01/06 00:00:00+00,"""Stan Ockersstraat 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Reigersbosdreef 3, 2040 Bezali",REIGERSBOSDREEF,3,,,2040,Bezali,1,woning:1,2025/06/03 00:00:00+00,"""Reigersbosdreef 3"" ""2040"" ""Bezali""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Leopold De Vriesstraat 54, 2600 Berchem",LEOPOLD DE VRIESSTRAAT,54,,,2600,Berchem,1,woning:1,2024/02/19 00:00:00+00,"""Leopold De Vriesstraat 54"" ""2600"" ""Berchem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Gijzelaarsstraat 52, 2000 Antwerpen",GIJZELAARSSTRAAT,52,,,2000,Antwerpen,1,woning:1,2018/06/18 00:00:00+00,"""Gijzelaarsstraat 52"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Koornbloemstraat 93, 2610 Wilrijk",KOORNBLOEMSTRAAT,93,,,2610,Wilrijk,1,woning:1,2021/04/09 00:00:00+00,"""Koornbloemstraat 93"" ""2610"" ""Wilrijk""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Cockerillkaai 36, 2000 Antwerpen",COCKERILLKAAI,36,,,2000,Antwerpen,1,woning:1,2025/01/17 00:00:00+00,"""Cockerillkaai 36"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Suikerrui 36, 2000 Antwerpen",SUIKERRUI,36,,,2000,Antwerpen,1,gebouw:1,2018/07/18 00:00:00+00,"""Suikerrui 36"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Elststraat 47, 2660 Hoboken",ELSTSTRAAT,47,,,2660,Hoboken,1,woning:1,2025/07/14 00:00:00+00,"""Elststraat 47"" ""2660"" ""Hoboken""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Van Arteveldestraat 8, 2060 Antwerpen",VAN ARTEVELDESTRAAT,8,,,2060,Antwerpen,1,gebouw:1,2019/05/07 00:00:00+00,"""Van Arteveldestraat 8"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Van Arteveldestraat 10, 2060 Antwerpen",VAN ARTEVELDESTRAAT,10,,,2060,Antwerpen,1,gebouw:1,2023/10/03 00:00:00+00,"""Van Arteveldestraat 10"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Berkenrodelei 61, 2660 Hoboken",BERKENRODELEI,61,,,2660,Hoboken,1,woning:1,2025/10/29 00:00:00+00,"""Berkenrodelei 61"" ""2660"" ""Hoboken""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Statiestraat 50, 2018 Antwerpen",STATIESTRAAT,50,,,2018,Antwerpen,1,gebouw:1,2016/12/20 00:00:00+00,"""Statiestraat 50"" ""2018"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Aernout En Willemlaan 4, 2050 Antwerpen",AERNOUT EN WILLEMLAAN,4,,,2050,Antwerpen,1,woning:1,2025/01/17 00:00:00+00,"""Aernout En Willemlaan 4"" ""2050"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Sint-Bernardsesteenweg 614, 2660 Hoboken",SINT-BERNARDSESTEENWEG,614,,,2660,Hoboken,1,woning:1,2022/05/24 00:00:00+00,"""Sint-Bernardsesteenweg 614"" ""2660"" ""Hoboken""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Schotensesteenweg 49, 2100 Deurne",SCHOTENSESTEENWEG,49,,,2100,Deurne,1,gebouw:1,2018/06/18 00:00:00+00,"""Schotensesteenweg 49"" ""2100"" ""Deurne""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Doornstraat 161-2, 2610 Wilrijk",DOORNSTRAAT,161,2,,2610,Wilrijk,1,woning:1,2026/01/30 00:00:00+00,"""Doornstraat 161"" ""2610"" ""Wilrijk""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Sint-Jacobsmarkt 95, 2000 Antwerpen",SINT-JACOBSMARKT,95,,,2000,Antwerpen,4,woning:3; gebouw:1,2020/10/20 00:00:00+00,"""Sint-Jacobsmarkt 95"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Boshovestraat 70, 2100 Deurne",BOSHOVESTRAAT,70,,,2100,Deurne,1,woning:1,2024/07/15 00:00:00+00,"""Boshovestraat 70"" ""2100"" ""Deurne""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Provinciestraat 314, 2018 Antwerpen",PROVINCIESTRAAT,314,,,2018,Antwerpen,2,woning:2,2022/03/01 00:00:00+00,"""Provinciestraat 314"" ""2018"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Bouwmeestersstraat 5, 2000 Antwerpen",BOUWMEESTERSSTRAAT,5,,,2000,Antwerpen,1,woning:1,2017/10/11 00:00:00+00,"""Bouwmeestersstraat 5"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Rosier 25, 2000 Antwerpen",ROSIER,25,,,2000,Antwerpen,1,woning:1,2020/07/31 00:00:00+00,"""Rosier 25"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,middel,75,,,,,,,
"Rosier 27, 2000 Antwerpen",ROSIER,27,,,2000,Antwerpen,1,woning:1,2020/07/31 00:00:00+00,"""Rosier 27"" ""2000"" ""Antwerpen""",digitale_contactinfo_gevonden,middel,75,,201604172,info@coorevits-rosier.be,https://www.facebook.com/Uitvaartzorg,https://coorevits-rosier.be/,Coorevits- Rosier,
"Lange Kievitstraat 54, 2018 Antwerpen",LANGE KIEVITSTRAAT,54,,,2018,Antwerpen,1,gebouw:1,2021/04/26 00:00:00+00,"""Lange Kievitstraat 54"" ""2018"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Karel Geertsstraat 1, 2140 Borgerhout",KAREL GEERTSSTRAAT,1,,,2140,Borgerhout,1,gebouw:1,2023/11/02 00:00:00+00,"""Karel Geertsstraat 1"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Schoenstraat 20, 2140 Borgerhout",SCHOENSTRAAT,20,,,2140,Borgerhout,1,woning:1,2024/01/31 00:00:00+00,"""Schoenstraat 20"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Eendrachtstraat 15, 2060 Antwerpen",EENDRACHTSTRAAT,15,,,2060,Antwerpen,1,woning:1,2019/12/24 00:00:00+00,"""Eendrachtstraat 15"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Aalmoezenierstraat 34, 2000 Antwerpen",AALMOEZENIERSTRAAT,34,,,2000,Antwerpen,1,woning:1,2024/10/24 00:00:00+00,"""Aalmoezenierstraat 34"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Vosstraat 9, 2140 Borgerhout",VOSSTRAAT,9,,,2140,Borgerhout,2,woning:1; gebouw:1,2024/07/15 00:00:00+00,"""Vosstraat 9"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Berlijnstraat 2, 2660 Hoboken",BERLIJNSTRAAT,2,,,2660,Hoboken,1,woning:1,2024/10/21 00:00:00+00,"""Berlijnstraat 2"" ""2660"" ""Hoboken""",geen_betrouwbare_digitale_match,geen,20,,,,,,,
"Schildersstraat 35, 2000 Antwerpen",SCHILDERSSTRAAT,35,,,2000,Antwerpen,1,woning:1,2025/01/15 00:00:00+00,"""Schildersstraat 35"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Grote Markt 17, 2000 Antwerpen",GROTE MARKT,17,,,2000,Antwerpen,4,woning:3; gebouw:1,2012/07/23 00:00:00+00,"""Grote Markt 17"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Frankrijklei 14, 2000 Antwerpen",FRANKRIJKLEI,14,,,2000,Antwerpen,2,woning:1; gebouw:1,2021/10/12 00:00:00+00,"""Frankrijklei 14"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,5,,,,,,,
"Lange Nieuwstraat 10, 2000 Antwerpen",LANGE NIEUWSTRAAT,10,,,2000,Antwerpen,1,gebouw:1,2020/07/27 00:00:00+00,"""Lange Nieuwstraat 10"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Morckhovenlei 2, 2140 Borgerhout",MORCKHOVENLEI,2,,,2140,Borgerhout,1,gebouw:1,2025/05/26 00:00:00+00,"""Morckhovenlei 2"" ""2140"" ""Borgerhout""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Gasstraat 156, 2060 Antwerpen",GASSTRAAT,156,,,2060,Antwerpen,1,woning:1,2025/06/03 00:00:00+00,"""Gasstraat 156"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Pieter Van Hobokenstraat 25, 2000 Antwerpen",PIETER VAN HOBOKENSTRAAT,25,,,2000,Antwerpen,1,gebouw:1,2022/05/10 00:00:00+00,"""Pieter Van Hobokenstraat 25"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,20,,,,,,,
"Gitschotellei 152, 2600 Berchem",GITSCHOTELLEI,152,,,2600,Berchem,1,gebouw:1,2017/12/19 00:00:00+00,"""Gitschotellei 152"" ""2600"" ""Berchem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Hopland 67, 2000 Antwerpen",HOPLAND,67,,,2000,Antwerpen,1,woning:1,2018/12/13 00:00:00+00,"""Hopland 67"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,5,,,,,,,
"Dorpstraat 28, 2040 Bezali",DORPSTRAAT,28,,,2040,Bezali,1,woning:1,2024/06/10 00:00:00+00,"""Dorpstraat 28"" ""2040"" ""Bezali""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Oudemansstraat 22, 2000 Antwerpen",OUDEMANSSTRAAT,22,,,2000,Antwerpen,1,gebouw:1,2018/06/20 00:00:00+00,"""Oudemansstraat 22"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Bredabaan 479-481, 2170 Merksem",BREDABAAN,479,481,,2170,Merksem,1,gebouw:1,2024/06/17 00:00:00+00,"""Bredabaan 479"" ""2170"" ""Merksem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Berendrechtsvoetpad 35-1, 2040 Bezali",BERENDRECHTSVOETPAD,35,1,,2040,Bezali,1,woning:1,2017/12/12 00:00:00+00,"""Berendrechtsvoetpad 35"" ""2040"" ""Bezali""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Corneel Smitslei 7, 2150 Borsbeek",CORNEEL SMITSLEI,7,,,2150,Borsbeek,1,woning:1,2023/03/02 00:00:00+00,"""Corneel Smitslei 7"" ""2150"" ""Borsbeek""",geen_betrouwbare_digitale_match,geen,5,,,,,,,
"Adrinkhovenlaan 36 bus 2, 2150 Borsbeek",ADRINKHOVENLAAN,36,,2,2150,Borsbeek,1,woning:1,2024/04/29 00:00:00+00,"""Adrinkhovenlaan 36"" ""2150"" ""Borsbeek""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Sint-Aldegondiskaai 18, 2000 Antwerpen",SINT-ALDEGONDISKAAI,18,,,2000,Antwerpen,8,woning:5; gebouw:3,2020/02/12 00:00:00+00,"""Sint-Aldegondiskaai 18"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,20,,,,,,,
"Bredabaan 364-366, 2170 Merksem",BREDABAAN,364,366,,2170,Merksem,2,woning:1; gebouw:1,2012/10/09 00:00:00+00,"""Bredabaan 364"" ""2170"" ""Merksem""",geen_betrouwbare_digitale_match,geen,5,,,,,,,
"Minderbroedersrui 8, 2000 Antwerpen",MINDERBROEDERSRUI,8,,,2000,Antwerpen,1,gebouw:1,2018/11/28 00:00:00+00,"""Minderbroedersrui 8"" ""2000"" ""Antwerpen""",geen_betrouwbare_digitale_match,laag,55,,,,,,,
"Korte Bremstraat 18, 2170 Merksem",KORTE BREMSTRAAT,18,,,2170,Merksem,1,woning:1,2014/06/23 00:00:00+00,"""Korte Bremstraat 18"" ""2170"" ""Merksem""",geen_betrouwbare_digitale_match,geen,5,,,,,,,
"Vondelstraat 10-14, 2060 Antwerpen",VONDELSTRAAT,10,14,,2060,Antwerpen,2,gebouw:1; woning:1,2018/08/03 00:00:00+00,"""Vondelstraat 10"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
